id,name,size,serving_per_bag,calorie,carbohydrate,protein,fat,saturated fat,trans fat,sodium,sugar,含麩質之穀物及其製品,堅果類、種子類及其製品,大豆及其製品,奇異果及其製品,牛奶、羊奶及其製品,甲殼類及其製品(蝦類、蟹類),芒果及其製品,芝麻及其製品,花生及其製品,蛋類及其製品,軟體動物類及其製品(頭足類、螺貝類),魚類及其製品
1971352,草莓夾心土司,78,1,179,35,5.2,2,0.8,0,244,9.9,1,0,1,0,1,0,0,0,0,0,0,0
1971398,花生夾心土司,78,1,292,30.4,7.2,15.8,5.9,0,280,9.1,1,0,1,0,1,0,0,0,1,0,0,0
1971520,板巧克力夾心土司,73,1,241,33.1,5.5,9.6,3.7,0,230,8.2,1,1,1,0,1,0,0,0,0,0,0,0
1971552,經典蜂蜜鬆餅,110,1,365,54.6,5.8,13.8,3.9,0,275,28.9,1,0,1,0,1,0,0,0,0,1,0,0
1971689,陽光葡萄土司,130,1,363,65.9,10.7,6.2,2.7,0,338,19.6,1,0,1,0,0,0,0,0,0,0,0,0
1971702,綿柔鮮奶土司,111,1,321,56.4,11.1,5.7,2.7,0,386,7.5,1,0,1,0,1,0,0,0,0,0,0,0
1971734,榛果巧克力鬆餅,108,1,351,53.1,6.8,12.3,4,0,275,27.2,1,1,1,0,1,0,0,0,0,1,0,0
1971766,新纖麥土司,185,2,487,88.6,21.5,6.5,2,0,592,13.7,1,0,1,0,1,0,0,0,0,0,0,0
1972017,小麥胚芽土司,105,1,276,50.3,12.2,3.7,1.2,0,336,7.8,1,0,1,0,1,0,0,0,0,0,0,0
510608,讚岐烏龍麵,130,1,162,36.1,3.8,0.3,0,0,216,0,1,0,0,0,0,0,0,0,0,0,0,0
11640,鹽味毛豆,130,1,178,15.7,16.3,5.6,0.7,0,415,4.8,0,0,1,0,0,0,0,0,0,0,0,0
94044,川味椒麻煎餃,175,1,308,35.9,14.7,11.7,3.7,0,903,6.7,1,0,1,0,0,0,0,1,0,0,1,0
